player_name,team,age,cap_hit,years_remaining
Sam Lafferty,CHI,31,2000000,1
Anton Frondell,CHI,18,975000,3
Connor Bedard,CHI,20,950000,1
Frank Nazar,CHI,22,950000,1
Ryan Greene,CHI,22,950000,2
Oliver Moore,CHI,21,941667,2
Landon Slaggert,CHI,23,900000,2
Nick Lardis,CHI,20,865000,3
Dominic Toninato,CHI,32,850000,2
Shea Weber,CHI,40,7857143,1
Ryan Ellis,CHI,35,6250000,2
Alex Vlasic,CHI,24,4600000,5
Wyatt Kaiser,CHI,23,1700000,2
Matt Grzelcyk,CHI,32,1000000,1
Artyom Levshunov,CHI,20,975000,2
Sam Rinzel,CHI,21,941667,2
Kevin Korchinski,CHI,21,918333,1
Louis Crevier,CHI,24,900000,2
Ethan Del Mastro,CHI,23,855833,1
Spencer Knight,CHI,24,4500000,1
Arvid Soderblom,CHI,26,2750000,2
Sacha Boisvert,CHI,20,974167,3
Marek Vanacker,CHI,19,942500,3
Anthony (AJ) Spellacy,CHI,20,906667,2
Paul Ludwinski,CHI,21,900000,2
Martin Misiak,CHI,21,878333,2
Gavin Hayes,CHI,21,865000,2
Samuel Savoie,CHI,22,846667,2
Joey Anderson,CHI,27,800000,1
Jiri Felcman,CHI,20,996667,3
Taige Harding,CHI,24,880000,2
Jake Furlong,CHI,22,841667,2
Ryan Mast,CHI,23,830556,1
Dmitry Kuzmin,CHI,22,795556,1
Derrick Pouliot,CHI,32,775000,2
Stanislav Berezhnoy,CHI,22,975000,2
Drew Commesso,CHI,23,925000,1
Olivier Rodrigue,CHI,25,775000,1
Adam Gajan,CHI,21,1050000,2
Ty Henry,CHI,19,,
Roman Kantserov,CHI,21,,
Artur Kayumov,CHI,28,,
John Mustard,CHI,19,,
Janne Peltonen,CHI,21,,
Jack Pridham,CHI,20,,
Joel Svensson,CHI,20,,
Riku Tohila,CHI,22,,
Vaclav Nestrasil,CHI,19,,
Mason West,CHI,18,,
Nathan Behm,CHI,18,,
Julius Sumpf,CHI,21,,
Parker Holmes,CHI,19,,
Ashton Cumby,CHI,20,,
Ilya Kanarsky,CHI,21,,
Nathan MacKinnon,COL,30,12600000,6
Brock Nelson,COL,34,7500000,3
Gabriel Landeskog,COL,33,7000000,4
Martin Necas,COL,27,6500000,1
Valeri Nichushkin,COL,31,6125000,5
Nazem Kadri,COL,35,5600000,4
Artturi Lehkonen,COL,30,4500000,2
Ross Colton,COL,29,4000000,2
Nicolas Roy,COL,29,3000000,2
Logan O'Connor,COL,29,2500000,6
Jack Drury,COL,26,1725000,1
Joel Kiviranta,COL,30,1250000,1
